2 sheet,name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
8222,Polycab 10 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Optima Single Core Wire,Optima+ Red Wire LF FR,,,,14400,9792,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 10 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire,1721209292-Product-Screenshot 2024-07-17 151119.png,,,,,Size,10 Sq.mm,Core,1 Core,Type,Optima+ Red Wire LF FR,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Red,,,,,,,1721208311-Product-Screenshot 2024-07-17 145452.png,4118531119-Polycab-10-Sq,,18%,,,,,,,,,1,1-2 Days,
8223,Polycab 16 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Optima Single Core Wire,Optima+ Red Wire LF FR,,,,22730,15456.4,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 16 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Red Wire,1721209292-Product-Screenshot 2024-07-17 151119.png,,,,,Size,16 Sq.mm,Core,1 Core,Type,Optima+ Red Wire LF FR,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Red,,,,,,,1721208311-Product-Screenshot 2024-07-17 145452.png,2372471616-Polycab-16-Sq,,18%,,,,,,,,,1,1-2 Days,
8224,Polycab 0.75 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Primma Single Core Wire,Primma Flame Retardant Lead Free Wires,,,,1405,955.4,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 0.75 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables,1721209736-Product-Screenshot 2024-07-17 151841.png,,,,,Size,0.75 Sq.mm,Core,1 Core,Type,Primma Flame Retardant Lead Free Wires,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,,,,,,,,,1721209736-Product-Screenshot 2024-07-17 151827.png,8104547703-Polycab-0.75,,18%,,,,,,,,,1,1-2 Days,
8225,Polycab 1 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Primma Single Core Wire,Primma Flame Retardant Lead Free Wires,,,,1795,1220.6,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 1 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables,1721209736-Product-Screenshot 2024-07-17 151841.png,,,,,Size,1 Sq.mm,Core,1 Core,Type,Primma Flame Retardant Lead Free Wires,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,,,,,,,,,1721209736-Product-Screenshot 2024-07-17 151827.png,6468509144-Polycab-1-Sq.,,18%,,,,,,,,,1,1-2 Days,
8226,Polycab 1.5 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Primma Single Core Wire,Primma Flame Retardant Lead Free Wires,,,,2610,1774.8,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 1.5 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables,1721209736-Product-Screenshot 2024-07-17 151841.png,,,,,Size,1.5 Sq.mm,Core,1 Core,Type,Primma Flame Retardant Lead Free Wires,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,,,,,,,,,1721209736-Product-Screenshot 2024-07-17 151827.png,5073682271-Polycab-1.5-S,,18%,,,,,,,,,1,1-2 Days,
8227,Polycab 2.5 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Primma Single Core Wire,Primma Flame Retardant Lead Free Wires,,,,4155,2825.4,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 2.5 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables,1721209736-Product-Screenshot 2024-07-17 151841.png,,,,,Size,2.5 Sq.mm,Core,1 Core,Type,Primma Flame Retardant Lead Free Wires,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,,,,,,,,,1721209736-Product-Screenshot 2024-07-17 151827.png,6016916583-Polycab-2.5-S,,18%,,,,,,,,,1,1-2 Days,
8228,Polycab 4 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Primma Single Core Wire,Primma Flame Retardant Lead Free Wires,,,,6320,4297.6,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 4 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables,1721209736-Product-Screenshot 2024-07-17 151841.png,,,,,Size,4 Sq.mm,Core,1 Core,Type,Primma Flame Retardant Lead Free Wires,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,,,,,,,,,1721209736-Product-Screenshot 2024-07-17 151827.png,4939966857-Polycab-4-Sq.,,18%,,,,,,,,,1,1-2 Days,
8229,Polycab 6 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Primma Single Core Wire,Primma Flame Retardant Lead Free Wires,,,,9505,6463.4,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 6 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables,1721209736-Product-Screenshot 2024-07-17 151841.png,,,,,Size,6 Sq.mm,Core,1 Core,Type,Primma Flame Retardant Lead Free Wires,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,,,,,,,,,1721209736-Product-Screenshot 2024-07-17 151827.png,4956220601-Polycab-6-Sq.,,18%,,,,,,,,,1,1-2 Days,
8230,Polycab 0.75 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Yellow Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Etira Single Core,Etira Flame Retardant,,,,1300,884,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 0.75 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Yellow Wire,1721211817-Product-Screenshot 2024-07-17 155328.png,,,,,Size,0.75 Sq.mm,Core,1 Core,Type,Primma Flame Retardant Lead Free Wires,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Yellow,,,,,,,1721211789-Product-Screenshot 2024-07-17 155254.png,3223053797-Polycab-0.75,,18%,,,,,,,,,1,1-2 Days,
8231,Polycab 1 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Yellow Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Etira Single Core,Etira Flame Retardant,,,,1700,1156,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 1 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Yellow Wire,1721211817-Product-Screenshot 2024-07-17 155328.png,,,,,Size,1 Sq.mm,Core,1 Core,Type,Primma Flame Retardant Lead Free Wires,Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Yellow,,,,,,,1721211789-Product-Screenshot 2024-07-17 155254.png,2259272381-Polycab-1-Sq.,,18%,,,,,,,,,1,1-2 Days,
