name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a+BA:BA,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Cummins C125D5P-Diesel Generator Set B5.9 Series, 125 kVa/100 kWe, 174 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set B5.9 Series, 125 kVa/100 kWe, 174 Amp",C125D5P,B5.9,C125D5P,,,Piece,Each,1,"Cummins C125D5P-Diesel Generator Set B5.9 Series, 125 kVa/100 kWe, 174 Amp",,,,,,Output Voltage And Frequency (V and Hz),"415 V, 50 Hz",Power Factor,0.8 (Lagging),Current Rating,174 Amp,RPM,1500,Duty,Prime,Power Rating kVA / kWe,125 kVa/100 kWe,No. Of Phases,3,,,,,,,,,1717587567-Product-C125D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C140D5P-Diesel Generator Set QSB5.9 Series, 140 kVa/112 kWe, 195 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set QSB5.9 Series, 140 kVa/112 kWe, 195 Amp",C140D5P,QSB5.9,C140D5P,,,Piece,Each,1,"Cummins C140D5P-Diesel Generator Set QSB5.9 Series, 140 kVa/112 kWe, 195 Amp",,,,,,Output Voltage And Frequency (V and Hz),"415 V, 50 Hz",Power Factor,0.8 (Lagging),Current Rating,195 Amp,RPM,1500,Duty,Prime,Power Rating kVA / kWe,140 kVa/112 kWe,No. Of Phases,3,,,,,,,,,1717587584-Product-C140D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C160D5P-Diesel Generator Set QSB5.9 Series, 160 kVa/128 kWe, 223 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set QSB5.9 Series, 160 kVa/128 kWe, 223 Amp",C160D5P,QSB5.9,C160D5P,,,Piece,Each,1,"Cummins C160D5P-Diesel Generator Set QSB5.9 Series, 160 kVa/128 kWe, 223 Amp",,,,,,Output Voltage And Frequency (V and Hz),"415 V, 50 Hz",Power Factor,0.8 (Lagging),Current Rating,223 Amp,RPM,1500,Duty,Prime,Power Rating kVA / kWe,160 kVa/128 kWe,No. Of Phases,3,,,,,,,,,1717587604-Product-C160D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C180D5P-Diesel Generator Set QSB6.7 Series, 180 kVa/144 kWe, 250 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set QSB6.7 Series, 180 kVa/144 kWe, 250 Amp",C180D5P,QSB6.7,C180D5P,,,Piece,Each,1,"Cummins C180D5P-Diesel Generator Set QSB6.7 Series, 180 kVa/144 kWe, 250 Amp",,,,,,Output Voltage And Frequency (V and Hz),"415 V, 50 Hz",Power Factor,0.8 (Lagging),Current Rating,250 Amp,RPM,1500,Duty,Prime,Power Rating kVA / kWe,180 kVa/144 kWe,No. Of Phases,3,,,,,,,,,1717587615-Product-C180D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C200D5P-Diesel Generator Set QSB6.7 Series, 200 kVa/160 kWe, 278 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set QSB6.7 Series, 200 kVa/160 kWe, 278 Amp",C200D5P,QSB6.7,C200D5P,,,Piece,Each,1,"Cummins C200D5P-Diesel Generator Set QSB6.7 Series, 200 kVa/160 kWe, 278 Amp",,,,,,Output Voltage And Frequency (V and Hz),"415 V, 50 Hz",Power Factor,0.8 (Lagging),Current Rating,278 Amp,RPM,1500,Duty,Prime,Power Rating kVA / kWe,200 kVa/160 kWe,No. Of Phases,3,,,,,,,,,1717587624-Product-C200D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C225D5P-Diesel Generator Set QSB6.7 Series, 225 kVa/180 kWe, 313 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set QSB6.7 Series, 225 kVa/180 kWe, 313 Amp",C225D5P,QSB6.7,C225D5P,,,Piece,Each,1,"Cummins C225D5P-Diesel Generator Set QSB6.7 Series, 225 kVa/180 kWe, 313 Amp",,,,,,Output Voltage And Frequency (V and Hz),"415 V, 50 Hz",Power Factor,0.8 (Lagging),Current Rating,313 Amp,RPM,1500,Duty,Prime,Power Rating kVA / kWe,225 kVa/180 kWe,No. Of Phases,3,,,,,,,,,1717587634-Product-C225D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C250D5P-Diesel Generator Set QSB6.7 Series, 250 kVa/200 kWe, 348 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set QSB6.7 Series, 250 kVa/200 kWe, 348 Amp",C250D5P,QSB6.7,C250D5P,,,Piece,Each,1,"Cummins C250D5P-Diesel Generator Set QSB6.7 Series, 250 kVa/200 kWe, 348 Amp",,,,,,Output Voltage And Frequency (V and Hz),"415 V, 50 Hz",Power Factor,0.8 (Lagging),Current Rating,348 Amp,RPM,1500,Duty,Prime Power (PRP),Power Rating kVA / kWe,250 kVa/200 kWe,No. Of Phases,3,,,,,,,,,1717587711-Product-C250D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C250D5P-Diesel Generator Set L8.9 Series, 250 kVa/200 kWe, 348 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set L8.9 Series, 250 kVa/200 kWe, 348 Amp",C250D5P (..),L8.9,C250D5P,,,Piece,Each,1,"Cummins C250D5P-Diesel Generator Set L8.9 Series, 250 kVa/200 kWe, 348 Amp",,,,,,Output Voltage And Frequency (V and Hz),"415 V, 50 Hz",Power Factor,0.8 (Lagging),Current Rating,348 Amp,RPM,1500,Duty,Prime,Power Rating kVA / kWe,250 kVa/200 kWe,No. Of Phases,3,,,,,,,,,1717587729-Product-C250D5P..PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C275D5P-Diesel Generator Set QSL9 Series, 275 kVa/220 kWe, 382 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set QSL9 Series, 275 kVa/220 kWe, 382 Amp",C275D5P,QSL9,C275D5P,,,Piece,Each,1,"Cummins C275D5P-Diesel Generator Set QSL9 Series, 275 kVa/220 kWe, 382 Amp",,,,,,Output Voltage And Frequency (V and Hz),"415 V, 50 Hz",Power Factor,0.8 (Lagging),Current Rating,382 Amp,RPM,1500,Duty,Prime,Power Rating kVA / kWe,275 kVa/220 kWe,No. Of Phases,3,,,,,,,,,1717587755-Product-C275D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C300D5P-Diesel Generator Set QSL9 Series, 300 kVa/240 kWe, 417 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set QSL9 Series, 300 kVa/240 kWe, 417 Amp",C300D5P,QSL9,C300D5P,,,Piece,Each,1,"Cummins C300D5P-Diesel Generator Set QSL9 Series, 300 kVa/240 kWe, 417 Amp",,,,,,Output Voltage And Frequency (V and Hz),"415 V, 50 Hz",Power Factor,0.8 (Lagging),Current Rating,417 Amp,RPM,1500,Duty,Prime,Power Rating kVA / kWe,300 kVa/240 kWe,No. Of Phases,3,,,,,,,,,1717587768-Product-C300D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C320D5P-Diesel Generator Set QSL9 Series, 320 kVa/256 kWe, 445 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set QSL9 Series, 320 kVa/256 kWe, 445 Amp",C320D5P,QSL9,C320D5P,,,Piece,Each,1,"Cummins C320D5P-Diesel Generator Set QSL9 Series, 320 kVa/256 kWe, 445 Amp",,,,,,Output Voltage And Frequency (V and Hz),"415 V, 50 Hz",Power Factor,0.8 (Lagging),Current Rating,445 Amp,RPM,1500,Duty,Prime,Power Rating kVA / kWe,320 kVa/256 kWe,No. Of Phases,3,,,,,,,,,1717587828-Product-C320D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C400D5P-Diesel Generator Set QSN14 Series, 400 kVa/320 kWe, 556 Amp",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set QSN14 Series, 400 kVa/320 kWe, 556 Amp",C400D5P,QSN14,C400D5P,,,Piece,Each,1,"Cummins C400D5P-Diesel Generator Set QSN14 Series, 400 kVa/320 kWe, 556 Amp",,,,,,Output Voltage And Frequency (V and Hz),"415 V, 50 Hz",Power Factor,0.8 (Lagging),Current Rating,556 Amp,RPM,1500,Duty,Prime,Power Rating kVA / kWe,400 kVa/320 kWe,No. Of Phases,3,,,,,,,,,1717587840-Product-C400D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C1250D5P-Diesel Generator Set K50 Series, 1250 kVA, No. Of Phase-3",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set K50 Series, 1250 kVA, No. Of Phase-3",C1250D5P,K50,C1250D5P,,,Piece,Each,1,"Cummins C1250D5P-Diesel Generator Set K50 Series, 1250 kVA, No. Of Phase-3",,,,,,Output Voltage And Frequency (V and Hz),"415 V, 50 Hz",Power Factor,0.8 (Lagging),Prime Power Rating kVA,1250 kVA,No. Of Phases,3,,,,,,,,,,,,,,,1717587850-Product-C1250D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Cummins C1500D5P-Diesel Generator Set K50 Series, 1500 kVA, No. Of Phase-3",Cummins,Customized Product,Generators,Diesel Generators,"Diesel Generator Set K50 Series, 1500 kVA, No. Of Phase-3",C1500D5P,K50,C1500D5P,,,Piece,Each,1,"Cummins C1500D5P-Diesel Generator Set K50 Series, 1500 kVA, No. Of Phase-3",,,,,,Output Voltage And Frequency (V and Hz),"415 V, 50 Hz",Power Factor,0.8 (Lagging),Prime Power Rating kVA,1500 kVA,No. Of Phases,3,,,,,,,,,,,,,,,1717587862-Product-C1500D5P.PNG,,,18%,,,,,,,,,1,1-2 Days,
